workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0155525699956343
2, 100, 10000, 1, 0, 0.5275245900265872
4, 100, 10000, 1, 0, 0.3262441910337657
8, 100, 10000, 1, 0, 0.19381244701799005
16, 100, 10000, 1, 0, 0.19351067091338336
32, 100, 10000, 1, 0, 0.3269292199984193
1, 100, 50000, 1, 0, 5.0188413800206035
2, 100, 50000, 1, 0, 2.569018927984871
4, 100, 50000, 1, 0, 1.2956871259957552
8, 100, 50000, 1, 0, 0.6956626829924062
16, 100, 50000, 1, 0, 0.468988873064518
32, 100, 50000, 1, 0, 0.5208120559109375
